id_fornecedor,nome,cnpj,telefone,created_at
1,Jesus Mendonça e Filhos,38.671.405/0001-24,(041) 0730-9025,2023-08-09 22:45:43
2,Lopes Alves S/A,18.276.493/0001-52,(071) 3686 7275,2024-03-04 19:22:36
3,Nogueira Castro e Filhos,59.482.736/0001-96,+55 11 7127-5183,2024-03-31 02:33:10
4,Abreu Ltda.,62.037.845/0001-09,+55 21 3906-2915,2025-09-29 01:54:47
5,Carvalho Casa Grande S/A,37.425.180/0001-63,+55 71 9951-0875,2024-05-23 22:39:58
6,Lopes,61.780.523/0001-92,81 4044-5321,2024-03-26 09:08:44
7,Teixeira,97.302.158/0001-58,(071) 2560-0360,2024-03-30 11:33:06
8,Oliveira,43.185.092/0001-34,(051) 9616 5650,2025-02-25 17:11:24
9,Siqueira e Filhos,63.142.809/0001-78,(081) 3954 4963,2023-05-02 22:07:13
10,Costa,85.940.163/0001-07,(071) 8313 6952,2023-05-21 17:56:45
11,Cavalcante,93.576.428/0001-68,+55 41 3245 1524,2022-12-07 16:09:11
12,Sales e Filhos,41.528.076/0001-71,+55 84 8391-1286,2023-08-27 22:42:12
13,Monteiro S/A,19.374.625/0001-41,+55 41 5327-2905,2023-02-24 07:13:24
14,Pastor,30.592.761/0001-40,+55 (051) 0250 0654,2022-12-06 09:46:25
15,Fogaça Campos Ltda.,08.732.461/0001-60,(081) 1529-5150,2025-03-21 12:22:34
16,Marques Leão - ME,31.482.059/0001-97,84 0727 7730,2025-04-02 22:38:23
17,Viana,53.920.761/0001-28,+55 (061) 5926 4758,2023-01-25 03:29:57
18,Montenegro,08.763.249/0001-60,+55 (081) 4712-7587,2023-09-26 05:05:23
19,Melo e Filhos,38.690.214/0001-00,11 0081 0008,2023-02-07 05:12:22
20,Pires Fogaça e Filhos,83.541.602/0001-83,61 4009 5231,2025-09-23 05:28:00
21,Marques,87.142.509/0001-57,+55 (081) 2007 4910,2025-03-15 10:08:45
22,Teixeira Pimenta - ME,84.263.570/0001-64,+55 11 7627 9382,2025-09-26 09:01:59
23,Cassiano S.A.,20.678.154/0001-44,+55 21 0536 4215,2025-11-16 12:09:53
24,Silveira,57.891.023/0001-50,21 9798-6620,2024-12-28 15:54:35
25,Aparecida - EI,21.467.350/0001-32,0800 676 6894,2023-05-24 16:33:25
26,Azevedo,59.764.103/0001-70,(084) 5978 5939,2024-02-01 15:02:38
27,Lima e Filhos,90.274.531/0001-65,(021) 2943 8520,2023-05-18 18:17:13
28,Novais - EI,61.954.827/0001-29,(021) 6483 5042,2023-09-01 08:49:29
29,Macedo,32.710.468/0001-66,+55 84 2594 6360,2023-04-30 12:22:19
30,Abreu - ME,60.754.238/0001-34,+55 (011) 3268 2470,2023-10-19 00:58:27
31,Melo,60.214.839/0001-54,(021) 8148-0899,2025-08-04 01:03:27
32,Moura Ltda.,86.175.409/0001-64,+55 11 7124 9849,2024-05-12 01:30:57
33,Borges,53.196.420/0001-51,+55 31 1633 7778,2025-11-07 17:06:39
34,Peixoto,32.056.174/0001-62,+55 (081) 8354 8478,2023-03-22 01:56:39
35,Machado S.A.,57.183.629/0001-31,(011) 0735-5752,2025-07-23 20:29:05
36,Silva,29.083.567/0001-50,+55 (011) 0192 7164,2023-04-27 13:44:48
37,Cardoso,36.452.190/0001-25,0900 925 0935,2024-02-11 10:39:02
38,Gonçalves e Filhos,46.178.592/0001-37,+55 41 0992-0510,2024-04-03 02:38:22
39,Novais S/A,91.802.354/0001-05,+55 (084) 2216 6809,2025-11-14 11:47:36
40,Sampaio S/A,81.652.349/0001-00,(051) 3689-3122,2025-08-06 06:01:51
41,Costa,30.684.571/0001-53,(041) 7501-6128,2024-06-14 18:15:02
42,Nunes - ME,53.410.296/0001-85,71 2441-5598,2024-06-16 09:01:57
43,da Cruz,17.568.249/0001-09,71 3978-3619,2025-05-05 20:01:37
44,Leão e Filhos,96.024.537/0001-60,31 0836 6761,2023-03-02 10:13:59
45,Santos,46.290.853/0001-06,41 1967 0043,2023-11-04 02:41:36
46,Brito Teixeira e Filhos,75.649.802/0001-26,31 2533-3516,2025-07-07 15:05:11
47,das Neves Andrade Ltda.,94.103.587/0001-08,51 9221 9347,2022-11-26 07:06:44
48,Melo S/A,34.710.586/0001-08,+55 (071) 6804-0492,2025-08-17 04:45:18
49,Viana,45.321.697/0001-30,0300-507-5199,2024-09-02 00:24:56
50,Moraes e Filhos,42.719.035/0001-25,84 4144 3748,2024-07-23 07:08:12
51,Rios,38.754.960/0001-10,+55 31 3635-6954,2023-01-06 17:06:06
52,Pires da Luz Ltda.,45.016.793/0001-75,+55 (081) 1711 0464,2023-05-08 17:11:15
53,Pastor,17.623.859/0001-50,0800 043 5952,2025-10-30 12:29:12
54,Carvalho Sousa e Filhos,10.932.748/0001-86,+55 21 5364 2689,2023-08-25 16:12:13
55,Farias,24.306.875/0001-84,(051) 0310 2567,2023-11-04 13:58:26
56,Ribeiro e Filhos,26.349.758/0001-23,81 9098 4637,2023-02-11 21:44:59
57,Costela,40.862.751/0001-31,0900-069-5233,2023-11-03 03:58:20
58,Pacheco,75.683.241/0001-81,(081) 0272 8568,2023-12-10 17:11:48
59,Costa e Filhos,48.571.630/0001-42,(071) 2752 7321,2025-09-19 22:47:20
60,Souza da Rocha - EI,78.943.205/0001-06,+55 21 9423 2093,2025-09-11 18:44:04
61,Cavalcanti,17.259.806/0001-00,+55 (021) 8864-1597,2024-11-20 19:25:55
62,Pereira Andrade S.A.,87.103.295/0001-00,+55 84 1486-6188,2025-06-26 14:57:08
63,Fernandes,07.549.683/0001-80,+55 (021) 3508 9727,2023-03-30 02:47:18
64,Freitas da Conceição S/A,75.936.084/0001-79,+55 (041) 8802 8244,2023-05-26 22:34:05
65,Ramos Caldeira S/A,90.172.385/0001-67,+55 (081) 7070-3972,2024-08-31 02:36:24
66,Sá,68.294.351/0001-96,+55 81 2665 3035,2023-08-29 22:59:43
67,Peixoto,13.406.572/0001-17,(084) 5858 0151,2024-02-17 16:26:33
68,Pastor S/A,08.951.346/0001-87,(011) 6430 0824,2025-04-01 12:43:16
69,da Conceição,93.120.784/0001-72,0500 937 4610,2025-08-12 04:54:13
70,da Cruz,79.320.415/0001-00,71 8171 5670,2025-04-03 00:26:16
71,Mendonça S/A,32.587.094/0001-33,81 5581-1047,2023-10-19 13:44:56
72,Lima e Filhos,06.824.397/0001-12,31 0269 0325,2025-08-02 08:45:33
73,Cassiano Barros S.A.,09.358.147/0001-22,(081) 4040-8948,2023-07-10 07:54:56
74,Martins - EI,34.285.706/0001-69,61 1937-4121,2025-05-15 07:58:36
75,Cavalcanti,74.523.981/0001-98,31 2753-3077,2024-01-04 13:55:43
76,Santos,50.863.214/0001-60,+55 (081) 2509-4186,2023-10-03 21:07:33
77,Costela das Neves S.A.,72.163.450/0001-06,+55 84 4642-2199,2023-07-11 04:38:14
78,Gonçalves,59.682.401/0001-11,+55 (084) 1569-6619,2025-07-17 05:21:38
79,Moura Mendes Ltda.,75.860.314/0001-63,+55 (084) 3507 5918,2024-12-01 03:52:23
80,Novais,20.348.956/0001-96,(071) 1381-3645,2025-10-26 09:46:14
81,Casa Grande S/A,94.567.832/0001-38,(031) 4234-7828,2025-07-31 08:35:22
82,Albuquerque,80.731.692/0001-87,41 3515 2261,2022-12-28 00:24:37
83,da Cruz Andrade - ME,53.842.176/0001-57,61 4212-2162,2024-08-12 06:17:37
84,Nogueira Sampaio Ltda.,80.154.692/0001-61,+55 81 4343-4711,2023-04-14 14:07:08
85,Moreira Ltda.,37.650.891/0001-31,+55 21 3801 2136,2023-12-15 23:06:42
86,Macedo,41.827.693/0001-78,+55 (071) 1989-3471,2025-07-28 22:16:42
87,Costa Ramos - ME,04.819.325/0001-51,0800-225-1363,2023-07-25 02:28:54
88,Ferreira Pimenta Ltda.,97.845.123/0001-65,+55 (051) 2832 4661,2023-04-02 02:02:00
89,das Neves,91.243.675/0001-17,21 6214 0154,2025-02-19 19:24:08
90,da Conceição da Rocha S.A.,15.924.680/0001-07,41 7230 4492,2025-10-14 20:18:33
91,Sampaio,95.368.724/0001-07,0800 613 8837,2024-05-09 09:42:23
92,da Cruz Camargo S/A,65.709.281/0001-00,41 2808-2856,2025-06-21 13:56:18
93,Lopes Silva - EI,93.846.701/0001-27,81 9865 5980,2025-05-07 21:10:04
94,Machado,65.397.284/0001-47,(041) 4128 3846,2024-01-08 19:55:19
95,Pinto,57.206.831/0001-31,+55 11 6864 5769,2023-12-31 01:48:36
96,Cunha,49.278.150/0001-50,(021) 1434 8225,2025-01-02 10:05:52
97,Lopes,67.240.935/0001-16,+55 51 8816 2817,2023-04-25 04:11:10
98,Aparecida - ME,17.205.849/0001-02,+55 71 2089 0266,2024-01-01 18:30:43
99,Montenegro S/A,96.307.518/0001-41,84 5615 4407,2024-04-26 09:12:14
100,Mendonça,13.948.750/0001-31,0800 810 9193,2024-08-30 21:19:31
101,Cunha S/A,39.761.280/0001-96,41 7322 2050,2024-01-18 05:49:38
102,Pires - ME,52.713.906/0001-57,31 1044 4879,2025-05-17 07:44:43
103,Azevedo - EI,87.613.940/0001-34,+55 51 7952 8262,2023-06-23 23:32:19
104,Silveira,32.479.560/0001-67,+55 51 0570 1027,2025-08-12 15:04:54
105,Ribeiro,62.931.785/0001-73,+55 (021) 9990 2573,2025-05-22 00:16:29
106,Monteiro,28.709.453/0001-00,(011) 2847-8937,2024-03-25 15:44:31
107,Pereira,32.178.964/0001-10,51 9386 5434,2023-12-27 23:11:26
108,Moura Ltda.,04.826.195/0001-84,71 2706 3386,2023-08-20 01:05:15
109,Silva,84.593.276/0001-10,11 8298-5884,2023-05-25 01:37:28
110,Ramos Ltda.,09.165.237/0001-05,31 1162 0974,2024-10-22 15:45:36
111,Melo S.A.,73.021.954/0001-54,(084) 1759-7889,2024-08-04 09:44:45
112,Moura S/A,68.092.357/0001-80,51 5961 4297,2025-11-06 12:32:29
113,Campos,27.398.165/0001-10,+55 31 2747-4426,2025-06-16 12:06:21
114,Marques,07.546.381/0001-58,0500-129-5560,2024-03-19 09:47:15
115,Santos Montenegro S.A.,62.371.840/0001-18,(071) 2711-1630,2023-08-12 09:01:50
116,Sampaio - ME,67.193.584/0001-30,0300 048 5480,2022-12-28 14:02:55
117,Cunha da Cruz S.A.,64.520.798/0001-85,0900 998 4458,2024-08-18 21:49:02
118,Cavalcanti,23.714.895/0001-21,(084) 0490 7303,2024-08-02 09:43:09
119,Azevedo,62.370.594/0001-80,+55 41 0802 3089,2023-02-26 11:21:06
120,Lopes e Filhos,95.764.823/0001-08,+55 (081) 6031-0906,2024-11-25 12:43:50
121,Alves,69.845.270/0001-08,+55 61 4028 6271,2025-07-17 18:03:32
122,Garcia,36.094.815/0001-24,51 0530 1816,2025-07-14 05:35:32
123,Viana,91.876.345/0001-69,+55 21 2290-6063,2024-09-18 22:08:46
124,da Rosa,78.195.034/0001-76,+55 (071) 8117-5741,2023-12-28 12:51:35
125,Cassiano Almeida S/A,69.054.378/0001-74,(061) 9943 1421,2025-11-13 07:59:38
126,Cavalcanti Machado - ME,23.697.548/0001-38,84 4614-5059,2024-12-24 15:11:17
127,Pastor,35.809.271/0001-77,+55 (084) 4970 2441,2025-03-01 08:07:48
128,Mendes,05.136.842/0001-99,+55 81 0540-3348,2024-08-16 03:43:29
129,Lima e Filhos,97.450.236/0001-61,(051) 5626-7819,2025-03-11 14:48:09
130,Macedo Almeida S/A,25.816.907/0001-54,84 2725-3791,2022-11-28 09:38:31
131,Rios S.A.,74.685.023/0001-13,(084) 7339-6736,2025-03-19 22:58:42
132,Andrade - ME,90.182.546/0001-01,0300 037 9495,2023-12-23 03:41:54
133,Barros S/A,34.790.825/0001-79,+55 31 7351 6480,2025-10-13 23:39:54
134,Azevedo,80.245.613/0001-28,+55 (084) 1173 1507,2023-02-15 21:56:49
135,Pacheco,58.392.046/0001-83,21 8497-6153,2025-04-09 16:25:51
136,Nascimento S/A,57.613.942/0001-62,41 0576 3378,2024-01-28 23:29:11
137,Farias,79.608.142/0001-96,+55 (081) 2105 2254,2024-08-22 15:59:24
138,da Cruz das Neves - EI,21.653.849/0001-34,(041) 1821 7481,2025-03-23 17:49:56
139,Costa - EI,73.605.841/0001-04,(011) 7666 5376,2023-07-22 02:46:30
140,Sampaio,41.087.569/0001-13,(084) 8083 8051,2023-06-14 03:42:03
141,Martins S.A.,23.014.789/0001-35,+55 (011) 6303 3257,2024-02-01 04:31:07
142,Santos S/A,90.378.516/0001-67,+55 (081) 8915-8770,2023-04-04 18:04:44
143,Jesus Ltda.,56.401.273/0001-00,31 7099 4312,2024-04-30 15:34:15
144,Montenegro S.A.,36.915.470/0001-22,+55 (031) 5543 5804,2025-03-17 18:04:07
145,Marques Rios - EI,26.017.935/0001-74,0800 340 4082,2024-05-07 03:22:35
146,Araújo,63.479.285/0001-05,0300 304 3536,2023-03-15 20:01:32
147,da Cunha,01.942.856/0001-49,(011) 7014-0973,2023-07-30 05:19:18
148,da Mata S.A.,52.931.780/0001-97,0300-566-2431,2024-05-14 10:15:30
149,Cunha,96.714.852/0001-10,0900-547-8497,2023-12-03 21:47:25
150,Peixoto,91.276.435/0001-19,+55 61 1131-8249,2023-09-23 16:19:45
151,Aparecida Vieira S/A,84.971.523/0001-75,(081) 2565-4921,2025-06-07 16:40:39
152,Barros - EI,50.319.764/0001-12,+55 (021) 0474 2005,2025-02-09 14:42:01
153,Mendes,93.702.645/0001-57,+55 (061) 2324 4059,2023-06-09 09:35:41
154,da Costa S.A.,54.732.901/0001-05,+55 (021) 1998-4735,2023-04-30 15:06:05
155,da Conceição,03.985.726/0001-19,(031) 7948 9677,2023-01-23 06:19:15
156,Fonseca Abreu S.A.,27.413.908/0001-83,(031) 2337-3509,2023-11-01 13:33:22
157,Casa Grande,96.501.732/0001-34,+55 (071) 8964 1475,2025-02-11 15:27:22
158,Câmara Rios - EI,51.260.384/0001-12,+55 (061) 8195-4240,2023-01-16 19:31:43
159,Rocha,68.937.512/0001-12,+55 71 4337 2527,2025-04-30 20:58:33
160,Cassiano e Filhos,57.629.803/0001-27,(061) 8320 2826,2023-07-20 22:34:40
161,Ramos S/A,27.154.860/0001-36,(081) 7060-2797,2025-05-03 02:57:39
162,da Rocha,85.017.634/0001-00,(051) 4813-2471,2023-01-07 11:48:30
163,Borges,41.950.836/0001-34,0300 275 2852,2025-06-19 20:18:41
164,Machado Souza S.A.,28.963.710/0001-36,71 3946-6447,2025-05-03 14:41:24
165,Moreira,54.963.287/0001-84,0500-522-3960,2025-03-04 21:08:27
166,Nascimento - ME,93.420.765/0001-61,(021) 3692-8600,2022-12-27 16:18:39
167,da Mata,38.591.620/0001-15,+55 (061) 4023 0269,2023-10-26 09:59:59
168,Souza,64.189.203/0001-50,51 2998 8075,2023-09-29 15:55:10
169,Viana,25.637.418/0001-35,41 8379-7701,2025-05-22 05:41:05
170,Castro,54.162.803/0001-71,11 0130-9339,2022-12-06 22:27:04
171,Moraes e Filhos,84.326.751/0001-92,(011) 6057 0182,2023-10-28 08:53:03
172,Pires,18.472.593/0001-54,+55 11 9323-9898,2023-09-12 13:51:58
173,Sá,47.905.263/0001-03,0300 646 5485,2023-06-19 20:49:09
174,Costa,01.234.568/0001-30,+55 41 0176-2254,2025-01-14 06:27:33
175,Silva,43.569.172/0001-93,+55 (031) 7352 3255,2025-01-09 17:56:19
176,Gonçalves - ME,36.208.715/0001-81,+55 (061) 4711-4060,2025-05-18 04:38:52
177,das Neves S.A.,90.314.568/0001-70,+55 41 2470 9010,2023-03-10 20:03:59
178,Souza Ltda.,02.896.435/0001-91,(011) 8593 4765,2024-08-08 10:20:44
179,Costela - ME,14.296.503/0001-60,61 7033-6699,2023-05-27 15:18:11
180,Fonseca Ltda.,91.372.865/0001-34,(011) 6725-2849,2022-12-22 22:14:56
181,Cunha,14.752.368/0001-10,+55 41 5726-2628,2023-01-13 04:48:43
182,Carvalho,23.658.719/0001-10,+55 41 1252-7739,2023-05-26 20:43:47
183,Costela - EI,06.451.278/0001-61,+55 21 7614-6676,2024-08-05 13:41:18
184,Silva S/A,97.834.016/0001-31,+55 71 2201 9711,2023-11-02 07:34:24
185,Leão Vasconcelos S.A.,60.581.934/0001-96,71 3588 6492,2024-07-25 12:35:43
186,Silva Câmara S.A.,40.286.957/0001-60,(011) 4100 6983,2023-10-31 07:29:50
187,Abreu,38.216.479/0001-70,(084) 4600-6552,2023-12-28 13:10:39
188,Rocha,23.074.965/0001-24,0800-139-6277,2024-07-12 08:09:22
189,Siqueira,65.831.709/0001-84,(081) 9943-1685,2024-01-08 22:48:20
190,Oliveira - EI,61.849.372/0001-81,+55 (071) 2627-8544,2025-11-09 12:54:18
191,Rios,43.987.526/0001-10,+55 (071) 4385-8697,2024-02-10 23:21:47
192,Sales,17.943.258/0001-24,(081) 8068-7933,2025-06-06 00:55:48
193,da Cunha Vieira S.A.,43.019.578/0001-00,71 2752 9833,2025-10-28 14:29:29
194,Nogueira Pires e Filhos,76.250.314/0001-04,21 0356 6432,2023-12-13 07:28:34
195,Vieira,81.936.470/0001-63,+55 (021) 4997 0073,2023-10-09 20:03:26
196,Fernandes,19.286.753/0001-33,(011) 1266 5833,2025-01-10 19:01:57
197,Ribeiro,08.765.124/0001-70,+55 (084) 4853-2257,2023-07-05 22:35:02
198,Garcia da Luz - EI,83.417.650/0001-64,+55 71 3045 3962,2023-09-20 10:38:52
199,Costa Pastor S.A.,81.742.653/0001-48,+55 (011) 7845-8868,2025-03-19 08:15:04
200,Martins Gonçalves Ltda.,84.720.196/0001-89,(051) 4219 0906,2024-09-12 13:30:28
201,Carvalho Cirino Ltda.,89.125.370/0001-69,(071) 8130-4197,2024-05-03 13:15:22
202,Machado - EI,37.219.068/0001-76,+55 (021) 5076-3267,2025-05-11 04:56:42
203,Moura e Filhos,05.418.926/0001-15,+55 (051) 7160 8923,2022-12-25 00:07:11
204,Borges,25.830.671/0001-00,0300 708 3510,2023-10-02 02:38:51
205,Guerra S/A,21.764.385/0001-33,(061) 6668-4678,2023-12-19 12:48:49
206,Campos Campos - EI,90.362.815/0001-03,+55 41 9887 4335,2025-09-20 04:53:06
207,Viana Sampaio e Filhos,56.470.819/0001-77,0900-589-2115,2025-08-20 01:24:07
208,Moraes Camargo e Filhos,92.315.704/0001-71,81 4492 9307,2025-06-21 13:10:25
209,Moura da Conceição Ltda.,15.602.943/0001-61,81 5257-0044,2024-06-26 13:33:32
210,Aragão Duarte - EI,46.120.983/0001-09,+55 (071) 4189 7022,2024-07-16 15:44:59
211,Caldeira,41.893.762/0001-41,(031) 7228-5255,2024-11-24 07:59:24
212,Ramos - EI,51.796.238/0001-06,+55 (084) 8461 5678,2025-11-11 01:32:09
213,Cardoso Aparecida e Filhos,82.591.730/0001-79,+55 84 3841-8778,2025-06-18 07:39:26
214,da Costa Ltda.,36.172.405/0001-54,+55 61 0635-8357,2025-02-17 18:29:44
215,Duarte,19.302.854/0001-50,+55 51 5642 1241,2025-06-23 16:08:08
216,da Rocha S/A,91.476.308/0001-63,+55 61 9664 3286,2022-12-31 12:23:11
217,Cavalcanti Sampaio - EI,05.296.748/0001-05,+55 84 2155 8369,2024-09-20 21:17:13
218,Vasconcelos,92.341.580/0001-07,84 4892 8673,2023-01-26 16:29:30
219,Garcia da Rosa S/A,60.539.241/0001-35,(051) 8211 4383,2025-11-09 11:18:32
220,Pastor Albuquerque - EI,90.123.685/0001-56,(031) 7322-5170,2025-08-27 13:47:59
221,Almeida,73.065.428/0001-96,21 8988 3268,2025-06-14 22:51:34
222,Oliveira,40.689.735/0001-99,+55 21 7152 8259,2023-07-18 09:58:39
223,Souza,27.951.486/0001-08,+55 (081) 4204 9888,2023-10-19 01:12:56
224,Sá,65.037.482/0001-08,+55 (011) 7966-6239,2023-08-28 01:55:28
225,Gonçalves,14.268.509/0001-24,(031) 9536 1163,2024-08-23 16:12:22
226,Vasconcelos Cassiano - ME,23.140.658/0001-02,(041) 6196 6915,2023-11-07 05:27:08
227,Cunha da Mata - EI,98.365.247/0001-06,(011) 9335-4296,2024-04-29 18:38:38
228,Ferreira - EI,90.146.238/0001-12,+55 31 3711-8795,2024-07-13 23:51:42
229,Barbosa Ltda.,76.591.302/0001-43,(051) 5139 0466,2025-10-19 15:45:47
230,da Cruz,71.368.924/0001-93,61 5958 9375,2025-07-31 23:44:23
231,Ribeiro,51.683.402/0001-79,+55 (011) 0947-0818,2023-11-28 08:58:46
232,Oliveira Cassiano - EI,50.632.149/0001-61,+55 81 7069 4249,2023-04-06 09:57:29
233,Correia Rodrigues S/A,80.147.369/0001-60,21 6827-0463,2025-04-11 06:51:19
234,da Mota,82.397.145/0001-32,+55 (031) 3389-2223,2025-04-29 09:55:15
235,Casa Grande,09.352.876/0001-71,+55 41 6301 8493,2022-12-29 16:43:35
236,Martins,38.297.504/0001-98,(071) 3757 9545,2023-12-07 19:18:35
237,Gonçalves Freitas e Filhos,21.367.590/0001-65,71 2805 9158,2024-07-07 22:23:09
238,Ribeiro,23.495.687/0001-89,+55 41 0510 3802,2024-05-20 06:54:20
239,Moraes,57.263.489/0001-01,(041) 3155-2609,2024-04-16 12:31:08
240,da Cunha Pires S/A,96.715.208/0001-66,(071) 4242 0097,2023-10-17 05:12:34
241,Nunes - EI,97.418.052/0001-14,84 0384 2453,2025-10-02 14:31:39
242,Camargo,60.329.451/0001-07,0500 386 1989,2022-12-17 08:31:47
243,da Cruz,74.156.830/0001-49,0800 810 8690,2024-02-13 05:58:36
244,Oliveira,53.186.472/0001-47,61 1280 3410,2023-02-14 05:50:26
245,Cavalcanti Farias e Filhos,96.581.324/0001-30,+55 11 6360 8519,2024-07-28 01:58:40
246,Rezende Cunha - EI,60.513.974/0001-09,+55 71 4316 4908,2023-12-10 05:48:44
247,da Conceição,53.142.708/0001-43,0500-995-5986,2024-03-04 23:18:46
248,Campos S.A.,86.317.420/0001-11,+55 71 4178 8320,2025-06-05 06:56:19
249,da Rocha Monteiro S.A.,19.843.607/0001-61,+55 (051) 4765-8587,2025-11-16 13:02:35
